phage_id,host_species,split
NC_000871,Streptococcus_thermophilus,test
NC_000872,Streptococcus_thermophilus,test
NC_000929,Escherichia_coli,test
NC_001330,Escherichia_coli,test
NC_001331,Pseudomonas_aeruginosa,test
NC_001332,Escherichia_coli,test
NC_001341,Acholeplasma_laidlawii,test
NC_001365,Spiroplasma_citri,test
NC_001396,Xanthomonas_campestris,test
NC_001416,Escherichia_coli,test
NC_001447,Acholeplasma_laidlawii,test
NC_001604,Escherichia_coli,test
NC_001609,Escherichia_coli,test
NC_001628,Pseudomonas_aeruginosa,test
NC_001741,Chlamydia_psittaci,test
NC_001825,Streptococcus_pneumoniae,test
NC_001884,Bacillus_subtilis,test
NC_001890,Escherichia_coli,test
NC_001900,Mycolicibacterium_smegmatis,test
NC_001954,Escherichia_coli,test
NC_001998,Chlamydia_psittaci,test
NC_002014,Escherichia_coli,test
NC_002072,Streptococcus_thermophilus,test
NC_002167,Escherichia_coli,test
NC_002185,Streptococcus_thermophilus,test
NC_002194,Chlamydia_psittaci,test
NC_002656,Mycolicibacterium_smegmatis,test
NC_002661,Staphylococcus_aureus,test
NC_002700,Acinetobacter_higginsii,test
NC_002703,Lactococcus_lactis,test
NC_002747,Lactococcus_lactis,test
NC_002796,Lactococcus_lactis,test
NC_003214,Sulfolobus_islandicus,test
NC_003299,Pseudomonas_syringae,test
NC_003300,Pseudomonas_syringae,test
NC_003301,Pseudomonas_syringae,test
NC_003309,Burkholderia_thailandensis,test
NC_003315,Haemophilus_influenzae,test
NC_003387,Mycobacterium_avium,test
NC_003444,Shigella_flexneri,test
NC_003460,Propionibacterium_freudenreichii,test
NC_003714,Pseudomonas_savastanoi,test
NC_003715,Pseudomonas_savastanoi,test
NC_003716,Pseudomonas_savastanoi,test
NC_003793,Spiroplasma_citri,test
NC_004084,Natrialba_magadii,test
NC_004170,Pseudomonas_syringae,test
NC_004171,Pseudomonas_syringae,test
NC_004172,Pseudomonas_syringae,test
NC_004173,Pseudomonas_syringae,test
NC_004174,Pseudomonas_syringae,test
NC_004175,Pseudomonas_syringae,test
NC_004333,Burkholderia_cepacia,test
NC_004348,Salmonella_enterica,test
NC_004456,Vibrio_harveyi,test
NC_004584,Streptococcus_pyogenes,test
NC_004585,Streptococcus_pyogenes,test
NC_004586,Streptococcus_pyogenes,test
NC_004587,Streptococcus_pyogenes,test
NC_004588,Streptococcus_pyogenes,test
NC_004589,Streptococcus_pyogenes,test
NC_004664,Streptomyces_lividans,test
NC_004679,Staphylococcus_aureus,test
NC_004735,Rhodothermus_marinus,test
NC_004736,Vibrio_cholerae,test
NC_004740,Staphylococcus_aureus,test
NC_004745,Yersinia_pestis,test
NC_004820,Bacillus_cereus,test
NC_004821,Bacillus_cereus,test
NC_004831,Salmonella_enterica,test
NC_004902,Xanthomonas_oryzae,test
NC_005045,Pseudomonas_aeruginosa,test
NC_005056,Escherichia_coli,test
NC_005083,Vibrio_parahaemolyticus,test
NC_005091,Burkholderia_cepacia,test
NC_005342,Burkholderia_cepacia,test
NC_005354,Lactobacillus_johnsonii,test
NC_005355,Lactobacillus_johnsonii,test
NC_005356,Staphylococcus_aureus,test
NC_005357,Bordetella_bronchiseptica,test
NC_005856,Escherichia_coli,test
NC_005857,Klebsiella_oxytoca,test
NC_005859,Escherichia_coli,test
NC_005879,Vibrio_cholerae,test
NC_005884,Pseudomonas_aeruginosa,test
NC_005887,Burkholderia_cepacia,test
NC_006268,Sulfolobus_tengchongensis,test
NC_006294,Vibrio_cholerae,test
NC_006552,Pseudomonas_aeruginosa,test
NC_006556,Thermoproteus_tenax,test
NC_006557,Evansella_clarkii,test
NC_006565,Lactiplantibacillus_plantarum,test
NC_006936,Lactiplantibacillus_plantarum,test
NC_006945,Bacillus_thuringiensis,test
NC_006949,Salmonella_enterica,test
NC_006953,Vibrio_pelagius,test
NC_007021,Staphylococcus_aureus,test
NC_007024,Xanthomonas_hortorum,test
NC_007046,Staphylococcus_aureus,test
NC_007048,Staphylococcus_aureus,test
NC_007050,Staphylococcus_aureus,test
NC_007051,Staphylococcus_aureus,test
NC_007052,Staphylococcus_aureus,test
NC_007053,Staphylococcus_aureus,test
NC_007054,Staphylococcus_aureus,test
NC_007055,Staphylococcus_aureus,test
NC_007056,Staphylococcus_aureus,test
NC_007057,Staphylococcus_aureus,test
NC_007058,Staphylococcus_aureus,test
NC_007059,Staphylococcus_aureus,test
NC_007060,Staphylococcus_aureus,test
NC_007061,Staphylococcus_aureus,test
NC_007062,Staphylococcus_aureus,test
NC_007063,Staphylococcus_aureus,test
NC_007064,Staphylococcus_aureus,test
NC_007065,Staphylococcus_aureus,test
NC_007291,Escherichia_coli,test
NC_007456,Escherichia_coli,test
NC_007497,Burkholderia_cepacia,test
NC_007501,Lacticaseibacillus_rhamnosus,test
NC_007637,Escherichia_coli,test
NC_007805,Pseudomonas_aeruginosa,test
NC_007806,Pseudomonas_aeruginosa,test
NC_007807,Pseudomonas_aeruginosa,test
NC_007808,Pseudomonas_aeruginosa,test
NC_007809,Pseudomonas_aeruginosa,test
NC_007817,Escherichia_coli,test
NC_007821,Escherichia_coli,test
NC_007856,Escherichia_coli,test
NC_007914,Haloarcula_hispanica,test
NC_007917,Clostridioides_difficile,test
NC_007918,Haloarcula_hispanica,test
NC_008363,Lactococcus_lactis,test
NC_008370,Lactococcus_lactis,test
NC_008371,Lactococcus_lactis,test
NC_008689,Staphylococcus_aureus,test
NC_008717,Pseudomonas_aeruginosa,test
NC_008722,Staphylococcus_epidermidis,test
NC_008723,Staphylococcus_epidermidis,test
NC_009014,Erwinia_amylovora,test
NC_009015,Burkholderia_ambifaria,test
NC_009382,Ralstonia_solanacearum,test
NC_009540,Escherichia_coli,test
NC_009541,Cutibacterium_acnes,test
NC_009551,Leptolyngbya_foveolarum,test
NC_009816,Corynebacterium_glutamicum,test
NC_009817,Lactococcus_lactis,test
NC_009819,Streptococcus_equi,test
NC_009987,Spiroplasma_kunkelii,test
NC_009990,Thalassotalea_loyana,test
NC_010106,Escherichia_coli,test
NC_010342,Vreelandella_aquamarina,test
NC_010391,Salmonella_enterica,test
NC_010392,Salmonella_enterica,test
NC_010393,Salmonella_enterica,test
NC_010463,Salmonella_enterica,test
NC_010807,Salmonella_enterica,test
NC_010821,Pseudomonas_chlororaphis,test
NC_011039,Mycolicibacterium_smegmatis,test
NC_011044,Mycolicibacterium_smegmatis,test
NC_011216,Burkholderia_cenocepacia,test
NC_011273,Mycolicibacterium_smegmatis,test
NC_011356,Escherichia_coli,test
NC_011357,Escherichia_coli,test
NC_011534,Kluyvera_cryocrescens,test
NC_011589,Stenotrophomonas_maltophilia,test
NC_011802,Salmonella_enterica,test
NC_011811,Erwinia_amylovora,test
NC_013152,Lactococcus_lactis,test
NC_013153,Lactococcus_lactis,test
NC_013154,Lactococcus_lactis,test
NC_013155,Lactococcus_lactis,test
NC_013585,Acidianus_brierleyi,test
NC_015269,Salmonella_enterica,test
NC_016650,Rhodococcus_globerulus,test
NC_016899,Thermococcus_prieurii,test
NC_017688,Lactococcus_lactis,test
NC_018280,Celeribacter_marinus,test
NC_019488,Salmonella_enterica,test
NC_019490,Riemerella_anatipestifer,test
NC_019519,Agrobacterium_tumefaciens,test
NC_019521,Sphingomonas_paucimobilis,test
NC_020159,Halorubrum_sodomense,test
NC_021190,Escherichia_coli,test
NC_021332,Staphylococcus_aureus,test
NC_021558,Paenibacillus_glucanolyticus,test
NC_021866,Ralstonia_solanacearum,test
NC_022751,Leptolyngbya_foveolarum,test
NC_024206,Lactobacillus_gasseri,test
NC_026608,Paracoccus_marcusii,test
NC_027118,Vibrio_cholerae,test
NC_027119,Salmonella_enterica,test
NC_027120,Lactococcus_lactis,test
NC_027125,Flavobacterium_columnare,test
NC_027204,Sinorhizobium_meliloti,test
NC_027292,Pseudomonas_fluorescens,test
NC_027293,Citrobacter_freundii,test
NC_027294,Cutibacterium_acnes,test
NC_027295,Cutibacterium_acnes,test
NC_027296,Rhizobium_etli,test
NC_027297,Salmonella_enterica,test
NC_027329,Salmonella_enterica,test
NC_027330,Escherichia_coli,test
NC_027331,Citrobacter_freundii,test
NC_027332,Acinetobacter_baumannii,test
NC_027333,Cutibacterium_acnes,test
NC_027335,Enterococcus_faecalis,test
NC_027336,Cutibacterium_acnes,test
NC_027337,Escherichia_coli,test
NC_027339,Shigella_flexneri,test
NC_027340,Erwinia_amylovora,test
NC_027341,Lactococcus_lactis,test
NC_027342,Proteus_mirabilis,test
NC_027345,Pseudomonas_aeruginosa,test
NC_027346,Cutibacterium_acnes,test
NC_027348,Delftia_tsuruhatensis,test
NC_027350,Citrobacter_freundii,test
NC_027352,Bacillus_cereus,test
NC_027353,Yersinia_pestis,test
NC_027354,Cutibacterium_acnes,test
NC_027355,Bacillus_cereus,test
NC_027356,Escherichia_coli,test
NC_027357,Cutibacterium_acnes,test
NC_027358,Leuconostoc_mesenteroides,test
NC_027360,Salmonella_enterica,test
NC_027362,Cutibacterium_acnes,test
NC_027363,Proteus_mirabilis,test
NC_027365,Mycolicibacterium_smegmatis,test
NC_027366,Priestia_megaterium,test
NC_027367,Cutibacterium_acnes,test
NC_027368,Vibrio_vulnificus,test
NC_027369,Escherichia_coli,test
NC_027370,Cutibacterium_acnes,test
NC_027371,Cutibacterium_acnes,test
NC_027372,Priestia_megaterium,test
NC_027373,Cutibacterium_acnes,test
NC_027374,Priestia_megaterium,test
NC_027375,Pseudomonas_aeruginosa,test
NC_027376,Cutibacterium_acnes,test
NC_027377,Leuconostoc_mesenteroides,test
NC_027378,Escherichia_coli,test
NC_027379,Proteus_mirabilis,test
NC_027381,Escherichia_coli,test
NC_027382,Shigella_flexneri,test
NC_027383,Escherichia_coli,test
NC_027384,Pseudomonas_aeruginosa,test
NC_027385,Cutibacterium_acnes,test
NC_027386,Cutibacterium_acnes,test
NC_027387,Escherichia_coli,test
NC_027388,Pseudomonas_aeruginosa,test
NC_027389,Cutibacterium_acnes,test
NC_027390,Proteus_mirabilis,test
NC_027391,Cutibacterium_acnes,test
NC_027392,Cutibacterium_acnes,test
NC_027393,Vibrio_cholerae,test
NC_027394,Priestia_megaterium,test
NC_027395,Escherichia_coli,test
NC_027396,Streptococcus_pneumoniae,test
NC_027397,Vibrio_cholerae,test
NC_027398,Shigella_flexneri,test
NC_027399,Klebsiella_pneumoniae,test
NC_027400,Cutibacterium_acnes,test
NC_027401,Cutibacterium_acnes,test
NC_027403,Cutibacterium_acnes,test
NC_027405,Cutibacterium_acnes,test
NC_027621,Cutibacterium_acnes,test
NC_027622,Cutibacterium_acnes,test
NC_027623,Cutibacterium_acnes,test
NC_027624,Cutibacterium_acnes,test
NC_027625,Cutibacterium_acnes,test
NC_027626,Cutibacterium_acnes,test
NC_027627,Cutibacterium_acnes,test
NC_027628,Cutibacterium_acnes,test
NC_027629,Cutibacterium_acnes,test
NC_027630,Cutibacterium_acnes,test
NC_027980,Enterobacter_cloacae,test
NC_027981,Vibrio_parahaemolyticus,test
NC_027982,Limosilactobacillus_fermentum,test
NC_027984,Escherichia_coli,test
NC_027987,Leuconostoc_mesenteroides,test
NC_027993,Escherichia_coli,test
NC_027994,Escherichia_coli,test
NC_027995,Escherichia_coli,test
NC_028247,Citrobacter_freundii,test
NC_028256,Aeropyrum_pernix,test
NC_028268,Aeropyrum_pernix,test
NC_028448,Escherichia_coli,test
NC_028653,Gordonia_terrae,test
NC_028654,Mycolicibacterium_smegmatis,test
NC_028655,Yersinia_enterocolitica,test
NC_028657,Pseudomonas_aeruginosa,test
NC_028659,Klebsiella_pneumoniae,test
NC_028661,Pseudomonas_syringae,test
NC_028662,Mycolicibacterium_phlei,test
NC_028663,Prochlorococcus_marinus,test
NC_028664,Klebsiella_pneumoniae,test
NC_028665,Gordonia_terrae,test
NC_028666,Streptococcus_parauberis,test
NC_028667,Pseudomonas_aeruginosa,test
NC_028668,Gordonia_malaquae,test
NC_028669,Staphylococcus_aureus,test
NC_028670,Klebsiella_pneumoniae,test
NC_028671,Enterococcus_faecalis,test
NC_028673,Gordonia_malaquae,test
NC_028675,Acinetobacter_baumannii,test
NC_028676,Sinorhizobium_meliloti,test
NC_028678,Mycolicibacterium_smegmatis,test
NC_028679,Acinetobacter_baumannii,test
NC_028680,Mycolicibacterium_smegmatis,test
NC_028683,Edwardsiella_ictaluri,test
NC_028684,Acinetobacter_baumannii,test
NC_028685,Shigella_sonnei,test
